budget,usecase,cpu_brand_pref,gpu_brand_pref,cpu_id,gpu_id,mobo_id,ram_id,ssd_id,psu_id,case_id,cooler_id,total_price,quality_score
219071,Editing,Intel,AMD,97,120,43,50,59,195,203,75,201400.0,0
154835,AI-ML,Intel,NVIDIA,97,20,43,50,139,195,305,153,154500.0,0
69584,Editing,Intel,AMD,95,27,43,131,178,300,77,72,93700.0,0
54380,Gaming,Intel,AMD,93,27,43,48,177,300,77,287,80780.0,0
77212,General Use,Intel,NVIDIA,14,0,43,243,57,141,78,289,79800.0,0
58115,Gaming,Intel,,93,18,43,48,177,300,77,287,76280.0,0
150593,AI-ML,AMD,,1,120,35,50,57,195,77,0,141999.0,0
181140,Editing,,AMD,88,29,225,53,139,195,313,153,171400.0,0
396549,Editing,Intel,NVIDIA,99,167,46,54,60,65,81,156,371500.0,0
124826,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
29809,General Use,AMD,NVIDIA,160,0,293,130,136,300,77,0,46499.0,0
150699,AI-ML,,NVIDIA,13,20,43,50,139,195,77,75,150300.0,0
215212,Editing,Intel,AMD,97,120,43,50,59,195,203,75,201400.0,0
175333,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
254438,AI-ML,AMD,NVIDIA,88,167,225,244,139,181,79,155,232500.0,0
38753,AI-ML,Intel,AMD,93,117,43,131,178,300,77,287,117280.0,0
146846,Editing,,NVIDIA,7,105,225,52,139,142,305,153,155900.0,0
61053,AI-ML,,AMD,93,117,43,131,178,300,77,287,117280.0,0
503623,Gaming,,AMD,99,121,46,244,60,146,214,156,485300.0,0
36608,AI-ML,,,93,20,43,131,178,300,77,287,92280.0,0
153727,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
65630,Editing,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
183550,AI-ML,Intel,,14,22,43,50,139,195,305,153,169000.0,0
297831,AI-ML,AMD,,91,167,225,244,60,65,203,156,297800.0,0
26187,Editing,Intel,AMD,93,27,43,131,178,300,77,287,89280.0,0
